keys,es,en,ko,pt_BR
Soltar pantalla,Soltar pantalla,Unfocus screen,화면 놓기,Soltar tela
"Space: Play/Pause | Arrows: Step | 1, 2, 4: Speed | R: Restart | Esc: Release Mouse","Space: Play/Pause | Arrows: Step | 1, 2, 4: Speed | R: Restart | Esc: Release Mouse","Space: Play/Pause | Arrows: Step | 1, 2, 4: Speed | R: Restart | Esc: Release Mouse","Space: 재생/정지 | 방향키: 한 단계 | 1, 2, 4: 속도 | R: 다시 시작 | Esc: 마우스 해제","Space: Reproduzir/Pausar | Setas: Passo | 1, 2, 4: Velocidade | R: Reiniciar | Esc: Liberar mouse"
Speed: %dx,Speed: %dx,Speed: %dx,속도: %dx,Velocidade: %dx
Speed: 1x,Speed: 1x,Speed: 1x,속도: 1x,Velocidade: 1x
Stair Test (0.2m steps),Stair Test (0.2m steps),Stair Test (0.2m steps),계단 테스트 (0.2m 단차),"Teste de escada (degraus de 0,2 m)"
Steep Slope (30°),Steep Slope (30°),Steep Slope (30°),급경사 (30°),Rampa íngreme (30°)
"SÍ, ACEPTO","SÍ, ACEPTO","YES, I AGREE","예, 동의합니다","SIM, ACEITO"
T-01,T-01,T-01,T-01,T-01
TEMP %s  PRES %s  TOX %s,TEMP %s  PRES %s  TOX %s,TEMP %s  PRES %s  TOX %s,온도 %s  압력 %s  독성 %s,TEMP %s  PRES %s  TOX %s
TEMP: ,TEMP: ,TEMP:,온도: ,TEMP: 
TERRACE A,TERRACE A,TERRACE A,테라스 A,TERRAÇO A
TITULO DEL PANEL,TITULO DEL PANEL,PANEL TITLE,패널 제목,TÍTULO DO PAINEL
Test Scene,Test Scene,Test Scene,테스트 장면,Cena de teste
Tiempo restante: 30 s,Tiempo restante: 30 s,Time remaining: 30 s,남은 시간: 30초,Tempo restante: 30 s
Usar terminal,Usar terminal,Use terminal,단말기 사용,Usar terminal
V-Sync,V-Sync,V-Sync,수직 동기화,V-Sync
VACÍA,VACÍA,EMPTY,비어 있음,VAZIA
VOLVER,VOLVER,BACK,뒤로,VOLTAR
Ver Política de Privacidad completa,Ver Política de Privacidad completa,View full Privacy Policy,개인정보 처리방침 전문 보기,Ver a Política de Privacidade completa
Ver a través de los objetos,Ver a través de los objetos,See through objects,물체 투시,Ver através dos objetos
Ver actualización disponible,Ver actualización disponible,View available update,사용 가능한 업데이트 보기,Ver atualização disponível
Ver en App Store,Ver en App Store,View on App Store,App Store에서 보기,Ver na App Store
Ver notas de la versión,Ver notas de la versión,View release notes,릴리스 노트 보기,Ver notas da versão
Ver registro,Ver registro,View log,로그 보기,Ver registro
Vibración,Vibración,Vibration,진동,Vibração
Volumen General,Volumen General,Master Volume,전체 음량,Volume Geral
Volver,Volver,Back,뒤로,Voltar
WOOD,WOOD,WOOD,나무,MADEIRA
Window,Window,Window,창 모드,Janela
X Close,X Close,X Close,X 닫기,X Fechar
[DISPONIBLE],[DISPONIBLE],[AVAILABLE],[사용 가능],[DISPONÍVEL]
[EN FOCO],[EN FOCO],[FOCUSED],[초점],[EM FOCO]
[INACTIVO],[INACTIVO],[INACTIVE],[비활성],[INATIVO]
[SIN CONEXION],[SIN CONEXION],[OFFLINE],[연결 없음],[SEM CONEXAO]
corto,corto,short,짧게,curto
cubemap camera,cubemap camera,cubemap camera,cubemap camera,cubemap camera
debug,debug,debug,debug,debug
debug_audio_texure,debug_audio_texure,debug_audio_texure,debug_audio_texure,debug_audio_texure
debug_depth,debug_depth,debug_depth,debug_depth,debug_depth
debug_material_id,debug_material_id,debug_material_id,debug_material_id,debug_material_id
debug_scr_texture,debug_scr_texture,debug_scr_texture,debug_scr_texture,debug_scr_texture
floor,floor,floor,floor,floor
floor on cubemap,floor on cubemap,floor on cubemap,floor on cubemap,floor on cubemap
"icarito
odisea.educa.juegos","icarito
odisea.educa.juegos","icarito
odisea.educa.juegos","icarito
odisea.educa.juegos","icarito
odisea.educa.juegos"
light color,light color,light color,light color,light color
materialID viewport render scale,materialID viewport render scale,materialID viewport render scale,materialID viewport render scale,materialID viewport render scale
more obj,more obj,more obj,more obj,more obj
objects,objects,objects,objects,objects
on,on,on,on,on
resolution,resolution,resolution,resolution,resolution
samples,samples,samples,samples,samples
turn off,turn off,turn off,turn off,turn off
un texto bastante mas largo que el anterior,un texto bastante mas largo que el anterior,a significantly longer text than the previous one,앞의 것보다 훨씬 긴 텍스트,um texto bem mais longo que o anterior
update camera,update camera,update camera,update camera,update camera
v0.0.0,v0.0.0,v0.0.0,v0.0.0,v0.0.0
widget,widget,widget,widget,widget
«%s» quiere controlar esta partida. Permita solo si muestra este mismo PIN:,«%s» quiere controlar esta partida. Permita solo si muestra este mismo PIN:,«%s» wants to control this game. Only allow if it shows this same PIN:,«%s»이(가) 이 게임을 제어하려고 합니다. 같은 PIN이 보일 때만 허용하십시오:,«%s» quer controlar esta partida. Permita só se mostrar este mesmo PIN:
¿Aceptas enviar telemetría?,¿Aceptas enviar telemetría?,Do you agree to send telemetry?,사용 정보 전송에 동의하십니까?,Você aceita enviar telemetria?
"¿Controlar esta partida?

%s

En esa pantalla tendrán que permitirlo con un PIN.","¿Controlar esta partida?

%s

En esa pantalla tendrán que permitirlo con un PIN.","Control this game?

%s

On that screen, permission will need to be granted using a PIN.","이 게임을 제어하시겠습니까?

%s

해당 화면에서 PIN으로 허용해야 합니다.","Controlar esta partida?

%s

Naquela tela vão precisar permitir com um PIN."
¿Permitir control remoto desde dispositivo?,¿Permitir control remoto desde dispositivo?,Allow remote control from device?,기기에서 오는 원격 제어를 허용하시겠습니까?,Permitir controle remoto do aparelho?
¿Volver al menú y desconectar el control remoto?,¿Volver al menú y desconectar el control remoto?,Return to menu and disconnect remote control?,메뉴로 돌아가고 원격 제어를 끊으시겠습니까?,Voltar ao menu e desconectar o controle remoto?
▸ PRESIONE PARA LEER,▸ PRESIONE PARA LEER,▸ PRESS TO READ,▸ 눌러서 읽기,▸ TOQUE PARA LER
◄ ROL,◄ ROL,◄ ROLL,◄ 롤,◄ ROLL
Primer acceso registrado en esta terminal.,Primer acceso registrado en esta terminal.,First access logged on this terminal.,이 터미널에 최초 접속이 기록되었습니다.,Primeiro acesso registrado neste terminal.
"Antes de asignarte una cápsula, el Arca necesita que leas el aviso que sigue y respondas una pregunta. Léelo con calma: solo se te preguntará esta vez.","Antes de asignarte una cápsula, el Arca necesita que leas el aviso que sigue y respondas una pregunta. Léelo con calma: solo se te preguntará esta vez.","Before you are assigned a pod, the Ark needs you to read the notice below and answer one question. Read it carefully: you will only be asked this once.","캡슐이 배정되기 전에, 아르카는 아래 고지를 읽고 한 가지 질문에 답하기를 요구합니다. 천천히 읽어 주십시오. 이 질문은 이번 한 번만 드립니다.","Antes de designar sua cápsula, a Arca precisa que você leia o aviso a seguir e responda a uma pergunta. Leia com calma: isto só será perguntado uma vez."
"Mientras juegas, Odisea puede enviarnos datos técnicos anónimos: los cuadros por segundo que alcanza tu equipo, la memoria que usa, en qué escena y en qué punto del mapa te encuentras, hacia dónde miras y el detalle de cualquier error.","Mientras juegas, Odisea puede enviarnos datos técnicos anónimos: los cuadros por segundo que alcanza tu equipo, la memoria que usa, en qué escena y en qué punto del mapa te encuentras, hacia dónde miras y el detalle de cualquier error.","While you play, Odisea may send us anonymous technical data: the frames per second your machine reaches, the memory it uses, which scene and map point you are at, where you are looking, and the details of any error.","플레이하는 동안 오디세아는 익명의 기술 데이터를 보낼 수 있습니다. 사용 중인 기기가 도달하는 초당 프레임 수, 사용하는 메모리, 현재 어떤 장면과 지도의 어느 지점에 있는지, 어디를 바라보는지, 그리고 발생한 오류의 세부 내용입니다.","Enquanto você joga, a Odisea pode nos enviar dados técnicos anônimos: os quadros por segundo que seu equipamento alcança, a memória que usa, em que cena e em que ponto do mapa você está, para onde olha e o detalhe de qualquer erro."
"Si el rendimiento cae durante varios segundos seguidos, se guarda además un fragmento breve de ese tramo —los controles que usaste y tu recorrido— para poder reproducirlo después y encontrar la causa.","Si el rendimiento cae durante varios segundos seguidos, se guarda además un fragmento breve de ese tramo —los controles que usaste y tu recorrido— para poder reproducirlo después y encontrar la causa.","If performance drops for several seconds in a row, a short fragment of that stretch is also saved — the controls you used and your route — so it can be replayed later to find the cause.","성능이 여러 초 동안 연속으로 떨어지면, 그 구간의 짧은 일부 —사용한 조작과 이동 경로— 가 추가로 저장되어, 나중에 재현해 원인을 찾을 수 있습니다.","Se o desempenho cair por vários segundos seguidos, também é guardado um trecho breve desse intervalo — os controles que você usou e seu percurso — para poder reproduzi-lo depois e encontrar a causa."
"El juego no envía tu ubicación física. Sin embargo, al igual que con cualquier conexión en Internet, nuestro servidor ve tu dirección IP y de ella deduce una ciudad aproximada; la IP no se almacena tal cual. Nunca te pedimos ni guardamos tu nombre, tu correo ni ningún dato de contacto.","El juego no envía tu ubicación física. Sin embargo, al igual que con cualquier conexión en Internet, nuestro servidor ve tu dirección IP y de ella deduce una ciudad aproximada; la IP no se almacena tal cual. Nunca te pedimos ni guardamos tu nombre, tu correo ni ningún dato de contacto.","The game does not send your physical location. However, as with any Internet connection, our server sees your IP address and infers an approximate city from it; the IP is not stored as such. We never ask for or keep your name, email, or any contact data.","게임은 당신의 실제 위치를 전송하지 않습니다. 다만 인터넷 연결과 마찬가지로, 저희 서버는 당신의 IP 주소를 보고 그로부터 대략적인 도시를 추정합니다. IP 자체는 저장되지 않습니다. 저희는 당신의 이름, 이메일 또는 어떤 연락처 정보도 요구하거나 보관하지 않습니다.","O jogo não envia sua localização física. Porém, como em qualquer conexão de Internet, nosso servidor vê seu endereço IP e dele deduz uma cidade aproximada; o IP não é armazenado como tal. Nunca pedimos nem guardamos seu nome, seu e-mail ou qualquer dado de contato."
ABRIR,ABRIR,OPEN,열기,ABRIR
ABRIR CÁPSULA,ABRIR CÁPSULA,OPEN POD,캡슐 열기,ABRIR CÁPSULA
ESTABLE,ESTABLE,STABLE,안정,ESTÁVEL
